,_time,Protocol,Count,Traffic,class_1,class_2
281,2023-04-12 18:09:40.023685+00:00,ARP,14,822,normal,normal
282,2023-04-12 18:09:45.207183+00:00,ARP,14,840,normal,normal
283,2023-04-12 18:09:50.400504+00:00,ARP,8,480,normal,normal
284,2023-04-12 18:09:55.695365+00:00,ARP,12,702,normal,normal
285,2023-04-12 18:10:01.295883+00:00,ARP,12,720,normal,normal
286,2023-04-12 18:10:06.433554+00:00,ARP,8,462,normal,normal
287,2023-04-12 18:10:11.563131+00:00,ARP,18,1080,normal,normal
288,2023-04-12 18:10:16.684031+00:00,ARP,11,660,normal,normal
289,2023-04-12 18:10:21.862447+00:00,ARP,10,582,normal,normal
290,2023-04-12 18:10:27.010251+00:00,ARP,12,720,normal,normal
291,2023-04-12 18:10:32.171827+00:00,ARP,7,420,normal,normal
292,2023-04-12 18:10:37.355261+00:00,ARP,14,822,normal,normal
293,2023-04-12 18:10:42.527132+00:00,ARP,6,360,normal,normal
294,2023-04-12 18:10:47.739976+00:00,ARP,7,420,normal,normal
295,2023-04-12 18:10:52.922707+00:00,ARP,6,342,normal,normal
296,2023-04-12 18:10:58.125350+00:00,ARP,7,420,normal,normal
297,2023-04-12 18:11:03.311794+00:00,ARP,12,720,normal,normal
298,2023-04-12 18:11:08.531304+00:00,ARP,5,282,normal,normal
299,2023-04-12 18:11:14.179815+00:00,ARP,5,300,normal,normal
300,2023-04-12 18:11:19.396233+00:00,ARP,4,240,normal,normal
301,2023-04-12 18:11:24.557537+00:00,ARP,6,342,normal,normal
302,2023-04-12 18:11:29.669863+00:00,ARP,2,120,normal,normal
303,2023-04-12 18:11:34.966410+00:00,ARP,4,240,normal,normal
304,2023-04-12 18:11:40.095939+00:00,ARP,12,702,normal,normal
305,2023-04-12 18:11:45.307075+00:00,ARP,10,600,normal,normal
306,2023-04-12 18:11:50.594592+00:00,ARP,7,420,normal,normal
307,2023-04-12 18:11:55.805338+00:00,ARP,10,582,normal,normal
308,2023-04-12 18:12:01.014041+00:00,ARP,15,900,normal,normal
309,2023-04-12 18:12:06.227603+00:00,ARP,7,402,normal,normal
310,2023-04-12 18:12:11.290681+00:00,ARP,19,1140,normal,normal
311,2023-04-12 18:12:16.510804+00:00,ARP,12,720,normal,normal
312,2023-04-12 18:12:21.765292+00:00,ARP,10,600,normal,normal
313,2023-04-12 18:12:27.002903+00:00,ARP,13,780,normal,normal
314,2023-04-12 18:12:32.161978+00:00,ARP,3,180,normal,normal
315,2023-04-12 18:12:37.296047+00:00,ARP,6,342,normal,normal
316,2023-04-12 18:12:42.387149+00:00,ARP,4,240,normal,normal
317,2023-04-12 18:12:47.613999+00:00,ARP,8,480,normal,normal
318,2023-04-12 18:12:52.778654+00:00,ARP,11,642,normal,normal
319,2023-04-12 18:12:58.470664+00:00,ARP,17,1020,normal,normal
320,2023-04-12 18:13:03.640932+00:00,ARP,12,720,normal,normal
321,2023-04-12 18:13:08.765179+00:00,ARP,5,282,normal,normal
322,2023-04-12 18:13:14.057378+00:00,ARP,4,240,normal,normal
323,2023-04-12 18:13:19.234907+00:00,ARP,5,300,normal,normal
324,2023-04-12 18:13:24.479007+00:00,ARP,4,240,normal,normal
325,2023-04-12 18:13:29.671446+00:00,ARP,3,180,normal,normal
326,2023-04-12 18:13:34.934836+00:00,ARP,5,300,normal,normal
327,2023-04-12 18:13:40.454092+00:00,ARP,15,900,normal,normal
328,2023-04-12 18:13:45.633847+00:00,ARP,10,600,normal,normal
329,2023-04-12 18:13:50.767255+00:00,ARP,6,360,normal,normal
330,2023-04-12 18:13:55.903006+00:00,ARP,9,522,normal,normal
331,2023-04-12 18:14:01.080096+00:00,ARP,10,600,normal,normal
332,2023-04-12 18:14:06.341086+00:00,ARP,6,360,normal,normal
333,2023-04-12 18:14:11.515258+00:00,ARP,22,1320,normal,normal
334,2023-04-12 18:14:16.692595+00:00,ARP,13,780,normal,normal
335,2023-04-12 18:14:21.903858+00:00,ARP,8,462,normal,normal
336,2023-04-12 18:14:27.077393+00:00,ARP,16,960,normal,normal
337,2023-04-12 18:14:32.292554+00:00,ARP,8,480,normal,normal
338,2023-04-12 18:14:37.515180+00:00,ARP,8,480,normal,normal
339,2023-04-12 18:14:42.714730+00:00,ARP,7,420,normal,normal
340,2023-04-12 18:14:47.950392+00:00,ARP,7,420,normal,normal
341,2023-04-12 18:14:53.134584+00:00,ARP,11,642,normal,normal
342,2023-04-12 18:14:58.276948+00:00,ARP,10,600,normal,normal
343,2023-04-12 18:15:03.485134+00:00,ARP,15,900,normal,normal
